,movie,overview
14,Рик и Морти (сериал 2013 – ...),в центр сюжет школьник по имя мортить и он дедушка рик мортить самый обычный мальчик который ничто не отличаться от свой сверстник а вот он дедуля заниматься необычный научный исследование и зачастую полностью неадекватный он мочь в любой время день и ночь схватить внук и отправиться вместе с они в безумный приключение с помощь построить из разный хлам летать тарелка который способный перемещаться сквозь межпространственный тоннель каждый раз этот парочка оказываться в самый неожиданный место и самый нелепый ситуация
15,Настоящий детектив (сериал 2014 – ...),первый сезон в луизиана в 1995 год происходить странный убийство девушка в 2012 год дело о убийство 1995 год повторно открывать так как произойти похожий убийство чтобы продвинуться в расследование полиция решать допросить бывший детектив который работать над тем дело второй сезон в калифорнийский город винчи в преддверие презентация новый линия железный дорога который улучшить финансовый положение город пропадать глава администрация город поздний он труп находить на шоссе к расследование подключать детектив из полиция винчи и детектив из департамент шериф округ вентур третий сезон известняковый плато озарк расположить одновременно в несколько штат детектив уэйн хейза совместно с следователь из арканзас роланд уэст пытаться разобраться в загадочный преступление растянуться на три десятилетие четвёртый сезон полярный ночь на аляска два женщиныполицейский расследовать загадочный исчезновение шесть сотрудник научноисследовательский станция
16,Светлячок (сериал 2002 – 2003),капитан малькольм рейнольдс закалённый в бой ветеран галактический гражданский война сражаться не на тот проиграть сторона зарабатывать на жизнь мелкий преступление и перевозить груз на свой корабль серенить он возглавлять небольшой разношёрстный команда который порядок смахивать на самый обычный семья она член вечно ссориться не соблюдать дисциплина но никогда не предать свой капитан и пойти за они хоть на край свет
17,Клиника (сериал 2001 – 2010),отучиться четыре год в медицинский школа джон дориан приходить работать интерн в клиника вместе с они здесь же быть применять получить знание и он хороший друг с время колледж крис терк не иметь опыт практический работа молодой специалист сразу же погружаться в хаотический мир жизнь больница
18,Леон,профессиональный убийца леон неожиданно для себя сам решать помочь 12летний соседка матильда семья который убить коррумпировать полицейский
19,Код Гиас: Восставший Лелуш R2 (сериал),япония 2017 год страна восходить солнце оккупировать необритания и отныне называться сектор11 весь японец загнать в тиски нищета и страх британец же это привилегированный слой общество который всё дозволить вплоть до истребление 11ый лелуша ламперг на первый взгляд обычный студент старший школа но у они с сестра есть тайна они представитель королевский семья от который пытаться избавиться он желание месть но неожиданный встреча с давний друг и таинственный девушка менять всё теперь у он есть сила
20,Начало,кобба талантливый вор хороший из хороший в опасный искусство извлечение он красть ценный секрет из глубина подсознание в время сон когда человеческий разум наиболее уязвимый редкий способность кобба сделать он ценный игрок в привычный к предательство мир промышленный шпионаж но они же превратить он в извечный беглец и лишить весь что он когдалибо любить и вот у кобба появляться шанс исправить ошибка он последний дело мочь вернуть всё назад но для это он нужно совершить невозможный инициация вместо идеальный кража кобба и он команда спец должный быть провернуть обратный теперь они задача не украсть идея а внедрить она если у они получиться это и стать идеальный преступление но никакой планирование или мастерство не мочь подготовить команда к встреча с опасный противник который казаться предугадывать каждый они ход враг увидеть который мочь бы лишь кобба
21,Бойцовский клуб,сотрудник страховой компания страдать хронический бессонница и отчаянно пытаться вырваться из мучительный скучный жизнь однажды в очередной командировка он встречать некий тайлера дёрден харизматический торговец мыло с извратить философия тайлера уверенный что самосовершенствование удел слабый а единственный ради что стоить жить саморазрушение проходить немного время и вот уже новый друг лупить друг друг почём зря на стоянка перед бар и очищать мордобой доставлять они высокий блаженство приобщать другой мужчина к простой радость физический жестокость они основывать тайный бойцовский клуб который начинать пользоваться невероятный популярность
22,Крестный отец: Трилогия 1901-1980 (видео),крёстный отец трилогия 19011980 выпустить на видео кинофильмспецпроект фрэнсис форд копполый представлять себя всё три серия сага крестный отец перемонтировать в хронологический относительно действие фильм порядок трилогия сделать на основа выпустить в 1977 телесериал крестный отец сага перемонтировать в хронологический порядок фильм крестный отец и крестный отец 2 с дополнительный сцена в 60 минута к который добавить материал фильм крестный отец 3
23,Клан Сопрано (сериал 1999 – 2007),мафиозный босс северный джерси тони сопрано эффективно решать проблема семья но с собственный родня ситуация сложный ребёнок от рука отбиться брак под угроза в отношение с пожилой мать сплошной недопонимание после серия панический атака он решать тайно посещать психотерапевт
24,По ту сторону изгороди (мини-сериал),в центр событие находиться два брат грег и вирт они предстоять путешествие через таинственный и страшный лес и только пройти он они смочь попасть домой
25,Достучаться до небес,воля судьба два абсолютный противоположность тихоня рудить и разгильдяй мартин оказываться в один больничный палата узнать неутешительный прогноз друг решать использовать последний день на полный катушка угнать машина с деньга напиться текила и конечно увидеть море
26,Зверополис,добро пожаловать в зверополис современный город населить самый разный животное от огромный слон до крошечный мышка зверополис раздельный на район полностью повторять естественный среда обитание разный житель здесь есть и элитный район площадь сахара и неприветливый тундратаун в это город появляться новый офицер полиция жизнерадостный зайчиха джудить хоппс который с первый день работа понимать как сложно быть маленький и пушистый среди больший и сильный полицейский джудить хвататься за первый же возможность проявить себя несмотря на то что она партнёр быть болтливый хитрый лис ник уайлд вдвоём они предстоять раскрыть сложный дело от который быть зависеть судьба весь обитатель зверополис
27,Собор Парижской Богоматери (ТВ),юный девушкацыганка по имя эсмеральда свой красота привлекать к себя внимание мужчина среди они архидьякон собор парижский богоматерь фролло молодой красавец капитан королевский стрелок феб и уродливый звонарь квазимодо воспитанник фролло эсмеральда без память влюбляться в сам красивый из они феб он не против воспользоваться это несмотря на то что у он есть невеста флерделиса
28,Братья по оружию (сериал),история о боевой путь рота e easy 2го батальон 506го парашютнодесантный полка 101ть воздушнодесантный дивизия сша от тренировочный лагерь в таккоа штат джорджия через высадка в нормандия голландский операция и осада бастонать до окончание второй мировой война
29,Тетрадь смерти (сериал 2006 – 2007),старшеклассник лайта яга в рука попадать тетрадь синига рюк каждый человек чей имя записать в этот тетрадка умереть поэтому лайта решать бороться с зло на земля
30,Жизнь прекрасна,в время второй мировой война из италия в концлагерь быть отправить еврей отец с маленький сын женаитальянка добровольно последовать за они в лагер отец сказать мальчик что всё происходить вокруг являться большой интересный игра за приз в вид настоящий танк и этот классный приз достаться тот мальчик который смочь не попасться на глаз надзиратель
31,Криминальное чтиво,двое бандит винсент вега и джулс винфилд вести философский беседа в перерыв между разборка и решение проблема с должник криминальный босс марселлас уоллес в первый история винсент проводить незабываемый вечер с жена марселлас мия в второй марселлас покупать боксёр бутч кулидж чтобы тот сдать бой в третий история винсент и джулс по нелепый случайность попадать в неприятность
32,Властелин колец: Возвращение Короля,повелитель сила тьма саурон направлять свой бесчисленный армия под стена минастирит крепость последний надежда он предвкушать близкий победа но именно это мешать он заметить два крохотный фигурка хоббит приближаться к роковой гора где они предстоять уничтожить кольцо всевластие
33,Теория большого взрыва (сериал 2007 – ...),два блестящий физика леонард и шелдон великий ум который понимать как устроить вселенная но они гениальность ничуть не помогать они общаться с человек особенно с женщина всё начинать меняться когда напротив они поселяться красавица пенни стоить также отметить пара странный друг этот физик воловица который любить употреблять фраза на разный язык включая русский а раджеш кутрапасть терять дар речь при вид женщина
34,Интерстеллар,когда засуха пыльный буря и вымирание растение приводить человечество к продовольственный кризис коллектив исследователь и учёный отправляться сквозь червоточина который предположительно соединять область пространствавременить через большой расстояние в путешествие чтобы превзойти прежний ограничение для космический путешествие человек и найти планета с подходящий для человечество условие
35,Гладиатор,римский империя бесстрашный и благородный генерал максимуса боготворить солдат а старый император марк аврелий безгранично доверять он и относиться как к сын однако опытный воин готовый сразиться с любой противник в честной бой оказываться бессильный перед коварный придворный интрига коммода сын марк аврелий убивать отец который планировать сделать преемник не он а максимуса и захватывать власть решить избавиться от опасный соперник который к тот же отказываться присягнуть он на верность коммода отдавать приказ убить максимуса и весь он семья чудом выжить но не суметь спасти близкий максимус попадать в плен к работорговец который продавать он организатор гладиаторский бой проксить так легендарный полководец становиться гладиатор но вскоре он представиться шанс встретиться с свой смертельный враг лицо к лицо
36,Крутой учитель Онидзука (сериал 1999 – 2000),частный академия священный лес впервые сталкиваться с такой учитель как эйкить онидзук а он казаться не оченьто хорошо знак с свой непосредственный обязанность и готовый продемонстрировать на практика весьма радикальный педагогический методика
37,Игры разума,от всемирный известность до греховный глубина всё это познать на свой шкура джон форбс нэшмладший математический гений он на заря свой карьера сделать титанический работа в область теория игра который перевернуть этот раздел математика и практически принести он международный известность однако буквально в то же время заносчивый и пользоваться успех у женщина нэш получать удар судьба который переворачивать уже он собственный жизнь
38,Как я встретил вашу маму (сериал 2005 – 2014),как я встретить ваш мама комедия про тед и про то как он влюбиться всё неприятность начинаться с тот что хороший друг тед маршалл вдруг неожиданно сообщать что он хотеть сделать предложение свой давний подруга лить воспитательница детский сад к тот время тед понимать что он нужно прилагать большой усилие если он действительно надеяться найти свой настоящий любовь помогать он в этот поиск он друг барни убеждённый холостяк вечно с свой иногда чересчур мнение на всё происходить с склонность к костюм и верный способ знакомиться с девушка когда тед встречать робин он решать что это любовь с первый взгляд но у судьба в запас есть коечто ещё
39,Бесстыдники (сериал 2011 – ...),о взбалмошный многодетный семья галлагер и они сосед который веселиться попадать в самый невероятный ситуация и пытаться выжить в это мир весь возможный средство но при это как можно маленький работать
40,Властелин колец: Братство кольца,сказание о средиземье это хроника великий война за кольцо длиться не один тысяча год тот кто владеть кольцо получать неограниченный власть но быть обязать служить зло тихий деревня где жить хоббит прийти на 111ть день рождение к свой старый друг бильбо бэггинс волшебник гэндальф начинать вести разговор о кольцо который бильбо найти много год назад это кольцо принадлежать когдато тёмный властитель средиземье саурон и оно давать больший власть свой обладатель теперь саурон хотеть вернуть себя власть над средиземье бильбо отдавать кольцо племянник фродый чтобы тот отнести он к роковой гора и уничтожить
41,Властелин колец: Две крепости,братство распасться но кольцо всевластие должный быть уничтожить фродый и сэм вынудить довериться голлум который взяться провести они к врата мордора громадный армия сарумана приближаться член братство и они союзник готовый принять бой битва за средиземье продолжаться
42,Ванпанчмен (сериал 2015 – ...),парень по имя сайтама жить в мир иронично похожий на наш он 25 он лысый и прекрасный и к тот же сильный настолько что с один удар аннигилировать всё что представлять опасность для человечество он искать себя в этот жизнь попутно раздавать подзатыльник монстр и злодей
43,Франкенштейн,доктор виктор франкенштейн создавать чудовище вдохнуть жизнь в тело создать из часть разный умерший человек однако в ужас от безобразность свой творение он бросать он на произвол судьба одинокий уродливый подетски невинный монстр ждать от мир доверие и любовь но повсюду сталкиваться лишь с злоба жестокость и ненависть окончательно отчаяться чудовище клясться разыскать свой создатель и отомстить он самый страшный образ
44,Стальной алхимик (сериал 2009 – 2010),нарушить главный запрет алхимия и попытаться воскресить мама талантливый брат элрик заплатить высокий цена младший альфонс потерять тело и теперь он душа прикрепить к стальной доспех а старший эдвард лишиться рука и нога поэтому он приходиться пользоваться протез автоброня благодаря проявить способность эда получить звание государственный алхимик и такой образ стать часть военный машина государство теперь у он есть шанс вернуть альфонс прежний тело
45,"Карты, деньги, два ствола",четверо приятель накопить по 25 тысяча фунт чтобы один из они мочь сыграть в карта с опытный шулер и матёрый преступник известный по кличка гарри топор парень проиграть 500 тысяча на выплата долг он дать неделя а в противный случай и он и он друг каждый день быть отрубать по палец ребята решать ограбить бандит решить ограбить три ботаник выращивать марихуана для местный наркобарон
46,Код Гиас: Восставший Лелуш (сериал 2006 – 2007),альтернативный реальность британский империя захватить треть мир обрушивать на непокорный мощь свой военный машина в япония захватить и переименовать в зона 11 вместе с младший сестра жить старшеклассник лелуша изгнать сын император потерять мать и право на престол юноша отличаться от сверстник не только происхождение он весьма одарённый личность только где применить этот способность неожиданно лелуша оказываться вовлечь в столкновение между японский террорист и британский солдат так он знакомиться с загадочный девушка cc она даровать он сверхъестественный способность гиас позволять подчинять себя воля другой человек скрывать лицо под маска и под имя зеро лелуша присоединяться к подпольный движение горе желание отомстить британия и отец быть студент академия ашфорд юноша вынудить вести двойной жизнь
47,Престиж,роберт и альфред фокусникииллюзионист который на рубеж xix и xx век соперничать друг с друг в лондон с год они дружеский конкуренция на профессиональный почва перерастать в настоящий война они готовый на всё чтобы выведать друг у друг секрет фантастический трюк и сорвать они исполнение непримиримый вражда вспыхнуть между они начинать угрожать жизнь окружающий они человек
48,Большой куш,фрэнк четыре палец должный быть переправить краденый алмаз из англия в сша свой босс эви но сделать ставка на подпольный боксёрский поединок он попасть в круговорот весьма нежелательный событие вокруг он и он груз разворачиваться сложный интрига с участие множество колоритный персонаж лондонский дно русский гангстер трое незадачливый грабитель хитрый боксёр и угрюмый громила грозный мафиози каждый норовить в одиночка сорвать большой куш
49,"Поймай меня, если сможешь",фрэнк эбегнейл успеть поработать врач адвокат и пилот на пассажирский авиалиния и всё это до достижение полный совершеннолетие в 21 год мастер в обман и жульничество он также обладать искусство подделка документ что в конечный счёт принести он миллион доллар который он получить по фальшивый чек агент фбр карл хэнрэтти отдать бы всё чтобы схватить фрэнк и привлечь к ответственность за свой деяние но фрэнк всегда опережать он на шаг заставлять продолжать погоня
50,Ковбой Бибоп (сериал 1998 – 1999),бывший полицейский джет блэк и человек с тёмный прошлое спайк шпигель совершенно не планировать увеличивать экипаж космический корабль бибоп являться для они дом и средство передвижение но сеть раскинуть для поимка дорогостоящий отброс общество принести они фэй валентайна очаровательный картёжница с колоссальный долг эда потеряться компьютерный умница и эйн предположительно самый умный собака на свет именно в такой состав экипаж бибоп и продолжать свой дело охота за голова
51,"И в печали, и в радости...",у богатый бизнесмен и он жена два сын приёмный рахула и родный рохан рахула дружить с нэйной который влюбить в он и отец предполагать поженить они но рахула встречать анджать симпатичный девушка жить в бедный район и влюбляться в она несмотря на данный отец обещание отказаться от девушка рахула тайно жениться на она чем вызывать гнев и проклятие отец рахула покидать родный дом и уезжать в лондон проходить 10 год подрасти рохан чудом превратиться из неповоротливый толстяк и обжора в атлет и красавец узнать о конфликт между отец и брат и клясться вернуть брат в семья
52,Темный рыцарь,бэтмена поднимать ставка в война с криминал с помощь лейтенант джим гордон и прокурор харви дента он намеренный очистить улица готэма от преступность сотрудничество оказываться эффективный но скоро они обнаружить себя посреди хаос развязать восходящий криминальный гений известный напугать горожанин под имя джокер
53,Идиот (сериал),князь лев мышкин возвращаться в россия из швейцария где несколько год лечиться от душевный недуг в петербург он попадать в дом свой дальний родственник семья епанчин чуткий и внимательный к другой человек он оказываться в круговорот страсть и интрига
54,Остров проклятых,два американский судебный пристав отправляться на один из остров в штат массачусетс чтобы расследовать исчезновение пациентка клиника для умалишённый преступник при проведение расследование они прийтись столкнуться с паутина ложь обрушиться ураган и смертельный бунт обитатель клиника
55,Матрица,жизнь томас андерсон разделить на два часть день он самый обычный офисный работник получать нагоняй от начальство а ночью превращаться в хакер по имя нео и нет место в сеть куда он бы не смочь проникнуть но однажды всё меняться томас узнавать ужасающий правда о реальность
